Split,Filename_Removed,Reason
val,GCA_022315155.1_M_gui_A3_genomic.cleaned.fna,Mash_dist=0.0021 (Train vs Val)
val,GCA_022695675.1_ASM2269567v1_genomic.cleaned.fna,Mash_dist=0.0052 (Train vs Val)
val,GCA_022695695.1_ASM2269569v1_genomic.cleaned.fna,Mash_dist=0.0075 (Train vs Val)
val,GCA_022695715.1_ASM2269571v1_genomic.cleaned.fna,Mash_dist=0.0035 (Train vs Val)
val,GCA_022695735.1_ASM2269573v1_genomic.cleaned.fna,Mash_dist=0.0074 (Train vs Val)
val,GCA_025434875.1_ASM2543487v1_genomic.cleaned.fna,Mash_dist=0.0061 (Train vs Val)
val,GCA_025434895.1_ASM2543489v1_genomic.cleaned.fna,Mash_dist=0.0034 (Train vs Val)
val,GCA_025434915.1_ASM2543491v1_genomic.cleaned.fna,Mash_dist=0.0073 (Train vs Val)
val,GCA_025727145.1_ASM2572714v1_genomic.cleaned.fna,Mash_dist=0.0035 (Train vs Val)
val,GCA_025727165.1_ASM2572716v1_genomic.cleaned.fna,Mash_dist=0.0036 (Train vs Val)
val,GCA_025727185.1_ASM2572718v1_genomic.cleaned.fna,Mash_dist=0.0035 (Train vs Val)
val,GCA_025727205.1_ASM2572720v1_genomic.cleaned.fna,Mash_dist=0.0074 (Train vs Val)
val,GCA_025727225.1_ASM2572722v1_genomic.cleaned.fna,Mash_dist=0.0040 (Train vs Val)
val,GCA_025727245.1_ASM2572724v1_genomic.cleaned.fna,Mash_dist=0.0047 (Train vs Val)
val,GCA_025727285.1_ASM2572728v1_genomic.cleaned.fna,Mash_dist=0.0072 (Train vs Val)
val,GCA_025727305.1_ASM2572730v1_genomic.cleaned.fna,Mash_dist=0.0077 (Train vs Val)
val,GCA_025727325.1_ASM2572732v1_genomic.cleaned.fna,Mash_dist=0.0034 (Train vs Val)
val,GCA_931297985.1_V187_genomic.cleaned.fna,Mash_dist=0.0031 (Train vs Val)
val,GCA_931301775.1_PYCC_8927_genomic.cleaned.fna,Mash_dist=0.0033 (Train vs Val)
val,GCA_931302085.1_PYCC_8926_genomic.cleaned.fna,Mash_dist=0.0034 (Train vs Val)
val,GCA_931303015.1_NCYC_161_genomic.cleaned.fna,Mash_dist=0.0035 (Train vs Val)
val,GCA_931303065.1_NCYC_3506_genomic.cleaned.fna,Mash_dist=0.0033 (Train vs Val)
val,GCA_931303385.1_NCYC_140_genomic.cleaned.fna,Mash_dist=0.0435 (Train vs Val)
val,GCA_931306095.1_NCYC_3877_genomic.cleaned.fna,Mash_dist=0.0427 (Train vs Val)
val,GCA_021498365.1_ASM2149836v1_genomic.cleaned.fna,Mash_dist=0.0072 (Train vs Val)
val,GCA_021498375.1_ASM2149837v1_genomic.cleaned.fna,Mash_dist=0.0074 (Train vs Val)
val,GCA_021498385.1_ASM2149838v1_genomic.cleaned.fna,Mash_dist=0.0074 (Train vs Val)
val,GCA_021498435.1_ASM2149843v1_genomic.cleaned.fna,Mash_dist=0.0072 (Train vs Val)
val,GCA_021853085.1_ASM2185308v1_genomic.cleaned.fna,Mash_dist=0.0018 (Train vs Val)
val,GCA_021853495.1_ASM2185349v1_genomic.cleaned.fna,Mash_dist=0.0018 (Train vs Val)
val,GCA_021853505.1_ASM2185350v1_genomic.cleaned.fna,Mash_dist=0.0021 (Train vs Val)
val,GCA_021853515.1_ASM2185351v1_genomic.cleaned.fna,Mash_dist=0.0018 (Train vs Val)
val,GCA_021853525.1_ASM2185352v1_genomic.cleaned.fna,Mash_dist=0.0018 (Train vs Val)
val,GCA_905071765.1_OR_assembly_genomic.cleaned.fna,Mash_dist=0.0058 (Train vs Val)
val,GCA_021854105.1_ASM2185410v1_genomic.cleaned.fna,Mash_dist=0.0018 (Train vs Val)
val,GCA_022344125.1_ASM2234412v1_genomic.cleaned.fna,Mash_dist=0.0114 (Train vs Val)
val,GCA_022344135.1_ASM2234413v1_genomic.cleaned.fna,Mash_dist=0.0116 (Train vs Val)
val,GCA_022344145.1_ASM2234414v1_genomic.cleaned.fna,Mash_dist=0.0115 (Train vs Val)
val,GCA_022344155.1_ASM2234415v1_genomic.cleaned.fna,Mash_dist=0.0135 (Train vs Val)
val,GCA_022344165.1_ASM2234416v1_genomic.cleaned.fna,Mash_dist=0.0128 (Train vs Val)
val,GCA_022344205.1_ASM2234420v1_genomic.cleaned.fna,Mash_dist=0.0119 (Train vs Val)
val,GCA_022344225.1_ASM2234422v1_genomic.cleaned.fna,Mash_dist=0.0123 (Train vs Val)
val,GCA_022344235.1_ASM2234423v1_genomic.cleaned.fna,Mash_dist=0.0115 (Train vs Val)
val,GCA_022344265.1_ASM2234426v1_genomic.cleaned.fna,Mash_dist=0.0116 (Train vs Val)
val,GCA_022344295.1_ASM2234429v1_genomic.cleaned.fna,Mash_dist=0.0115 (Train vs Val)
val,GCA_022344325.1_ASM2234432v1_genomic.cleaned.fna,Mash_dist=0.0129 (Train vs Val)
val,GCA_022344335.1_ASM2234433v1_genomic.cleaned.fna,Mash_dist=0.0115 (Train vs Val)
val,GCA_022344355.1_ASM2234435v1_genomic.cleaned.fna,Mash_dist=0.0114 (Train vs Val)
val,GCA_022344405.1_ASM2234440v1_genomic.cleaned.fna,Mash_dist=0.0114 (Train vs Val)
val,GCA_022344435.1_ASM2234443v1_genomic.cleaned.fna,Mash_dist=0.0116 (Train vs Val)
val,GCA_022344485.1_ASM2234448v1_genomic.cleaned.fna,Mash_dist=0.0127 (Train vs Val)
val,GCA_022345075.1_ASM2234507v1_genomic.cleaned.fna,Mash_dist=0.0121 (Train vs Val)
val,GCA_022345085.1_ASM2234508v1_genomic.cleaned.fna,Mash_dist=0.0117 (Train vs Val)
val,GCA_022345105.1_ASM2234510v1_genomic.cleaned.fna,Mash_dist=0.0128 (Train vs Val)
val,GCA_022345155.1_ASM2234515v1_genomic.cleaned.fna,Mash_dist=0.0150 (Train vs Val)
val,GCA_022345165.1_ASM2234516v1_genomic.cleaned.fna,Mash_dist=0.0119 (Train vs Val)
val,GCA_022345175.1_ASM2234517v1_genomic.cleaned.fna,Mash_dist=0.0115 (Train vs Val)
val,GCA_022345185.1_ASM2234518v1_genomic.cleaned.fna,Mash_dist=0.0114 (Train vs Val)
