Split,Filename_Removed,Reason
val,GCA_022701395.1_ASM2270139v1_genomic.cleaned.fna,Mash_dist=0.0172 (Train vs Val)
val,GCA_021527665.1_ASM2152766v1_genomic.cleaned.fna,Mash_dist=0.0188 (Train vs Val)
val,GCA_021527745.1_ASM2152774v1_genomic.cleaned.fna,Mash_dist=0.0061 (Train vs Val)
val,GCA_021527785.1_ASM2152778v1_genomic.cleaned.fna,Mash_dist=0.0188 (Train vs Val)
val,GCA_021491655.1_ASM2149165v1_genomic.cleaned.fna,Mash_dist=0.0088 (Train vs Val)
test,GCA_914521175.1_Phaeodactylum_tricornutum_genome_assembly_v0.5_genomic.cleaned.fna,Mash_dist=0.0071 (Train vs Test)
test,GCA_029168885.1_P.caps_01_genomic.cleaned.fna,Mash_dist=0.0252 (Train vs Test)
test,GCA_026225685.1_Pinf1306_UCR_1_genomic.cleaned.fna,Mash_dist=0.0101 (Train vs Test)
test,GCA_027925865.1_Lag_gig_ARSEF373_Annot_genomic.cleaned.fna,Mash_dist=0.0147 (Train vs Test)
test,GCA_025688915.1_ASM2568891v1_genomic.cleaned.fna,Mash_dist=0.0031 (Train vs Test)
test,GCA_024505685.1_BA788_genomic.cleaned.fna,Mash_dist=0.0032 (Train vs Test)
test,GCA_024970365.1_ASM2497036v1_genomic.cleaned.fna,Mash_dist=0.0172 (Train vs Test)
test,GCA_028455865.1_ASM2845586v1_genomic.cleaned.fna,Mash_dist=0.0333 (Train vs Test)
test,GCA_022985025.1_USDA_DID_1_genomic.cleaned.fna,Mash_dist=0.0073 (Train vs Test)
test,GCA_026248805.1_ASM2624880v1_genomic.cleaned.fna,Mash_dist=0.0095 (Train vs Test)
test,GCA_029168715.1_ASM2916871v1_genomic.cleaned.fna,Mash_dist=0.0217 (Train vs Test)
test,GCA_029168725.1_ASM2916872v1_genomic.cleaned.fna,Mash_dist=0.0153 (Train vs Test)
test,GCA_029168735.1_ASM2916873v1_genomic.cleaned.fna,Mash_dist=0.0221 (Train vs Test)
test,GCA_029168785.1_ASM2916878v1_genomic.cleaned.fna,Mash_dist=0.0101 (Train vs Test)
test,GCA_029168795.1_ASM2916879v1_genomic.cleaned.fna,Mash_dist=0.0311 (Train vs Test)
test,GCA_029168805.1_ASM2916880v1_genomic.cleaned.fna,Mash_dist=0.0222 (Train vs Test)
test,GCA_029168835.1_ASM2916883v1_genomic.cleaned.fna,Mash_dist=0.0395 (Train vs Test)
test,GCA_029168845.1_ASM2916884v1_genomic.cleaned.fna,Mash_dist=0.0116 (Train vs Test)
test,GCA_029168855.1_ASM2916885v1_genomic.cleaned.fna,Mash_dist=0.0325 (Train vs Test)
test,GCA_027563055.1_ASM2756305v1_genomic.cleaned.fna,Mash_dist=0.0018 (Train vs Test)
test,GCA_027563075.1_ASM2756307v1_genomic.cleaned.fna,Mash_dist=0.0014 (Train vs Test)
test,GCA_027563095.1_ASM2756309v1_genomic.cleaned.fna,Mash_dist=0.0018 (Train vs Test)
test,GCA_023973825.1_ASM2397382v1_genomic.cleaned.fna,Mash_dist=0.0017 (Train vs Test)
test,GCA_023845515.1_StPkA1H1_genomic.cleaned.fna,Mash_dist=0.0007 (Train vs Test)
test,GCA_023845535.1_PKCLINC048_genomic.cleaned.fna,Mash_dist=0.0178 (Train vs Test)
test,GCA_023845545.1_PKCLINC047_genomic.cleaned.fna,Mash_dist=0.0187 (Train vs Test)
test,GCA_026802255.1_ASM2680225v1_genomic.cleaned.fna,Mash_dist=0.0003 (Train vs Test)
test,GCA_026802285.1_ASM2680228v1_genomic.cleaned.fna,Mash_dist=0.0003 (Train vs Test)
test,GCA_026802315.1_ASM2680231v1_genomic.cleaned.fna,Mash_dist=0.0003 (Train vs Test)
test,GCA_024610995.1_ASM2461099v1_genomic.cleaned.fna,Mash_dist=0.0093 (Train vs Test)
test,GCA_027562995.1_ASM2756299v1_genomic.cleaned.fna,Mash_dist=0.0061 (Train vs Test)
test,GCA_027563015.1_ASM2756301v1_genomic.cleaned.fna,Mash_dist=0.0091 (Train vs Test)
test,GCA_027563035.1_ASM2756303v1_genomic.cleaned.fna,Mash_dist=0.0092 (Train vs Test)
test,GCA_027475745.1_ASM2747574v1_genomic.cleaned.fna,Mash_dist=0.0242 (Train vs Test)
test,GCA_024679005.1_ASM2467900v1_genomic.cleaned.fna,Mash_dist=0.0120 (Train vs Test)
test,GCA_020844765.3_17XNL_PSU_2_genomic.cleaned.fna,Mash_dist=0.0000 (Train vs Test)
test,GCA_024679105.1_ASM2467910v1_genomic.cleaned.fna,Mash_dist=0.0024 (Train vs Test)
test,GCA_026401375.1_ASM2640137v1_genomic.cleaned.fna,Mash_dist=0.0285 (Train vs Test)
test,GCA_026401395.1_ASM2640139v1_genomic.cleaned.fna,Mash_dist=0.0333 (Train vs Test)
test,GCA_029452305.1_CAASIVF_Hyap_BJ2020_genomic.cleaned.fna,Mash_dist=0.0329 (Train vs Test)
test,GCA_900537975.2_LBRM_annotationDEFINITIVO_genomic.cleaned.fna,Mash_dist=0.0012 (Train vs Test)
test,GCA_027406425.1_ASM2740642v1_genomic.cleaned.fna,Mash_dist=0.0047 (Train vs Test)
test,GCA_027406445.1_ASM2740644v1_genomic.cleaned.fna,Mash_dist=0.0047 (Train vs Test)
test,GCA_024679215.1_ASM2467921v1_genomic.cleaned.fna,Mash_dist=0.0112 (Train vs Test)
test,GCA_024679195.1_ASM2467919v1_genomic.cleaned.fna,Mash_dist=0.0413 (Train vs Test)
test,GCA_027406365.1_ASM2740636v1_genomic.cleaned.fna,Mash_dist=0.0184 (Train vs Test)
test,GCA_027406485.1_ASM2740648v1_genomic.cleaned.fna,Mash_dist=0.0205 (Train vs Test)
test,GCA_027406325.1_ASM2740632v1_genomic.cleaned.fna,Mash_dist=0.0171 (Train vs Test)
test,GCA_025449415.1_ASM2544941v1_genomic.cleaned.fna,Mash_dist=0.0085 (Train vs Test)
test,GCA_027406385.1_ASM2740638v1_genomic.cleaned.fna,Mash_dist=0.0086 (Train vs Test)
test,GCA_029240965.1_ASM2924096v1_genomic.cleaned.fna,Mash_dist=0.0205 (Train vs Test)
test,GCA_029240975.1_ASM2924097v1_genomic.cleaned.fna,Mash_dist=0.0219 (Train vs Test)
test,GCA_029241035.1_ASM2924103v1_genomic.cleaned.fna,Mash_dist=0.0394 (Train vs Test)
test,GCA_029241065.1_ASM2924106v1_genomic.cleaned.fna,Mash_dist=0.0234 (Train vs Test)
test,GCA_029241095.1_ASM2924109v1_genomic.cleaned.fna,Mash_dist=0.0161 (Train vs Test)
test,GCA_029241115.1_ASM2924111v1_genomic.cleaned.fna,Mash_dist=0.0317 (Train vs Test)
test,GCA_029241145.1_ASM2924114v1_genomic.cleaned.fna,Mash_dist=0.0163 (Train vs Test)
test,GCA_029241155.1_ASM2924115v1_genomic.cleaned.fna,Mash_dist=0.0167 (Train vs Test)
test,GCA_029241195.1_ASM2924119v1_genomic.cleaned.fna,Mash_dist=0.0185 (Train vs Test)
test,GCA_029241215.1_ASM2924121v1_genomic.cleaned.fna,Mash_dist=0.0162 (Train vs Test)
test,GCA_029241235.1_ASM2924123v1_genomic.cleaned.fna,Mash_dist=0.0312 (Train vs Test)
test,GCA_029241245.1_ASM2924124v1_genomic.cleaned.fna,Mash_dist=0.0192 (Train vs Test)
test,GCA_029241275.1_ASM2924127v1_genomic.cleaned.fna,Mash_dist=0.0161 (Train vs Test)
test,GCA_029241355.1_ASM2924135v1_genomic.cleaned.fna,Mash_dist=0.0231 (Train vs Test)
test,GCA_029241375.1_ASM2924137v1_genomic.cleaned.fna,Mash_dist=0.0179 (Train vs Test)
test,GCA_029241395.1_ASM2924139v1_genomic.cleaned.fna,Mash_dist=0.0303 (Train vs Test)
test,GCA_029241405.1_ASM2924140v1_genomic.cleaned.fna,Mash_dist=0.0282 (Train vs Test)
test,GCA_029241435.1_ASM2924143v1_genomic.cleaned.fna,Mash_dist=0.0191 (Train vs Test)
test,GCA_029241455.1_ASM2924145v1_genomic.cleaned.fna,Mash_dist=0.0203 (Train vs Test)
test,GCA_029241475.1_ASM2924147v1_genomic.cleaned.fna,Mash_dist=0.0439 (Train vs Test)
test,GCA_029241495.1_ASM2924149v1_genomic.cleaned.fna,Mash_dist=0.0244 (Train vs Test)
