Filename,Original Contigs,After Filtering,GC Content (%),Avg Length,Status
GCA_900079185.1_AG_v1_genomic.fna,5338,389,42.18,112927.5,KEPT
GCA_900175165.2_FCH_5_7_genomic.fna,705,551,44.96,46348.4,KEPT
GCA_003325415.1_Rstol_CA_genomic.fna,8064,6942,36.96,4075.8,KEPT
GCA_009809945.1_UNITO_GmarBEG34_1.0_genomic.fna,6489,4290,26.20,136652.0,KEPT
GCA_001661515.1_ASM166151v1_genomic.fna,72,65,37.47,380417.8,KEPT
GCA_000002945.3_ASM294v3_genomic.fna,3,3,36.06,4190606.7,KEPT
GCA_003086255.1_EBC7_Spombe_genomic.fna,6,6,36.04,2104047.8,KEPT
GCA_001245095.1_cj1_genomic.fna,7,7,44.23,1815329.1,KEPT
GCA_018344435.1_ASM1834443v1_genomic.fna,6941,1116,43.80,10336.1,KEPT
GCA_000764455.1_ASM76445v1_genomic.fna,2482,507,37.42,22701.3,KEPT
GCA_001983325.1_ASM198332v1_genomic.fna,260,258,38.49,45258.3,KEPT
GCA_002798095.1_ASM279809v1_genomic.fna,345,162,38.27,65129.8,KEPT
GCA_003033855.1_ASM303385v1_genomic.fna,11,11,38.29,993068.5,KEPT
GCA_003054405.1_ASM305440v1_genomic.fna,5,5,38.35,2156614.6,KEPT
GCA_003054445.1_ASM305444v1_genomic.fna,6,6,38.26,1810649.2,KEPT
GCA_003705515.2_ASM370551v2_genomic.fna,1058,234,38.24,47693.4,KEPT
GCA_014873065.1_ASM1487306v1_genomic.fna,6,6,38.37,1836246.5,KEPT
GCA_019843505.1_ASCUSDY21_genomic.fna,975,908,38.12,13691.8,KEPT
GCA_001417835.1_KM1777_03_genomic.fna,9,9,40.12,1210620.1,KEPT
GCA_001466335.1_ASM146633v1_genomic.fna,100,82,39.79,128619.2,KEPT
GCA_001660455.1_run3_genomic.fna,84,24,38.63,474770.2,KEPT
GCA_001854445.2_ASM185444v2_genomic.fna,8,8,40.16,1364306.6,KEPT
GCA_002356615.1_ASM235661v1_genomic.fna,8,8,40.20,1354702.2,KEPT
